分组方案,组别,BMI区间下限,BMI区间上限,组内孕妇数,检测孕周天数,检测孕周_周加天,题面风险等级,数据支持标志,预计已达标比例,预计尚未达标比例,是否帕累托非支配点,是否题面边界点
主分组K=1,1,20.703125,46.875,167,99,14周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7088723511982175,0.29112764880178255,1,0
主分组K=1,1,20.703125,46.875,167,100,14周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7138143485863113,0.2861856514136887,1,0
主分组K=1,1,20.703125,46.875,167,101,14周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7187181737708978,0.28128182622910225,1,0
主分组K=1,1,20.703125,46.875,167,102,14周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7235818264608725,0.27641817353912745,1,0
主分组K=1,1,20.703125,46.875,167,103,14周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7284033571129692,0.2715966428870308,1,0
主分组K=1,1,20.703125,46.875,167,104,14周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7331808709411426,0.2668191290588574,1,0
主分组K=1,1,20.703125,46.875,167,105,15周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7379125317547756,0.26208746824522444,1,0
主分组K=1,1,20.703125,46.875,167,106,15周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7425965656074518,0.2574034343925482,1,0
主分组K=1,1,20.703125,46.875,167,107,15周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7472312642391248,0.2527687357608752,1,0
主分组K=1,1,20.703125,46.875,167,108,15周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7518149882957397,0.24818501170426033,1,0
主分组K=1,1,20.703125,46.875,167,109,15周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7563461703117356,0.24365382968826443,1,0
主分组K=1,1,20.703125,46.875,167,110,15周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7608233174423353,0.23917668255766467,1,0
主分组K=1,1,20.703125,46.875,167,111,15周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7652450139341147,0.2347549860658853,1,0
主分组K=1,1,20.703125,46.875,167,112,16周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7696099233240377,0.23039007667596234,1,0
主分组K=1,1,20.703125,46.875,167,113,16周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7739167903588855,0.2260832096411145,1,0
主分组K=1,1,20.703125,46.875,167,114,16周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7781644426288236,0.22183555737117644,1,0
主分组K=1,1,20.703125,46.875,167,115,16周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7823517919106923,0.21764820808930774,1,0
主分组K=1,1,20.703125,46.875,167,116,16周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7864778352184791,0.21352216478152086,1,0
主分组K=1,1,20.703125,46.875,167,117,16周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.79054165556028,0.20945834443972,1,0
主分组K=1,1,20.703125,46.875,167,118,16周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.794542422402919,0.20545757759708105,1,0
主分组K=1,1,20.703125,46.875,167,119,17周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7984793918471808,0.20152060815281925,1,0
主分组K=1,1,20.703125,46.875,167,120,17周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8023519065183732,0.19764809348162682,1,0
主分组K=1,1,20.703125,46.875,167,121,17周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8061593951786179,0.1938406048213821,1,0
主分组K=1,1,20.703125,46.875,167,122,17周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8099013720688354,0.1900986279311646,1,0
主分组K=1,1,20.703125,46.875,167,123,17周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8135774359899054,0.1864225640100946,1,0
主分组K=1,1,20.703125,46.875,167,124,17周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.817187269133844,0.18281273086615601,1,0
主分组K=1,1,20.703125,46.875,167,125,17周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8207306356770858,0.17926936432291418,1,0
主分组K=1,1,20.703125,46.875,167,126,18周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8242073801490842,0.17579261985091577,1,0
主分组K=1,1,20.703125,46.875,167,127,18周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8276174255904168,0.17238257440958316,1,0
主分组K=1,1,20.703125,46.875,167,128,18周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8309607715154143,0.16903922848458575,1,0
主分组K=1,1,20.703125,46.875,167,129,18周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8342374916950079,0.16576250830499206,1,0
主分组K=1,1,20.703125,46.875,167,130,18周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8374477317760385,0.16255226822396152,1,0
主分组K=1,1,20.703125,46.875,167,131,18周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8405917067536381,0.15940829324636185,1,0
主分组K=1,1,20.703125,46.875,167,132,18周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8436696983135535,0.15633030168644646,1,0
主分组K=1,1,20.703125,46.875,167,133,19周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8466820520613559,0.15331794793864406,1,0
主分组K=1,1,20.703125,46.875,167,134,19周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8496291746554657,0.15037082534453428,1,0
主分组K=1,1,20.703125,46.875,167,135,19周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8525115308607348,0.14748846913926517,1,0
主分组K=1,1,20.703125,46.875,167,136,19周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8553296405390464,0.14467035946095363,1,0
主分组K=1,1,20.703125,46.875,167,137,19周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8580840755929903,0.14191592440700973,1,0
主分组K=1,1,20.703125,46.875,167,138,19周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8607754568781688,0.1392245431218312,1,0
主分组K=1,1,20.703125,46.875,167,139,19周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8634044510990871,0.13659554890091286,1,0
主分组K=1,1,20.703125,46.875,167,140,20周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8659717677029097,0.13402823229709027,1,0
主分组K=1,1,20.703125,46.875,167,141,20周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8684781557846193,0.1315218442153807,1,0
主分组K=1,1,20.703125,46.875,167,142,20周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8709244010163072,0.1290755989836928,1,0
主分组K=1,1,20.703125,46.875,167,143,20周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8733113226124718,0.1266886773875282,1,0
主分组K=1,1,20.703125,46.875,167,144,20周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8756397703423195,0.12436022965768045,1,0
主分组K=1,1,20.703125,46.875,167,145,20周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8779106215991438,0.12208937840085621,1,0
主分组K=1,1,20.703125,46.875,167,146,20周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8801247785359343,0.1198752214640657,1,0
主分组K=1,1,20.703125,46.875,167,147,21周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8822831652754278,0.11771683472457217,1,0
主分组K=1,1,20.703125,46.875,167,148,21周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8843867252018931,0.1156132747981069,1,0
主分组K=1,1,20.703125,46.875,167,149,21周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8864364183410073,0.11356358165899272,1,0
主分组K=1,1,20.703125,46.875,167,150,21周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8884332188332963,0.11156678116670371,1,0
主分组K=1,1,20.703125,46.875,167,151,21周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8903781125057186,0.10962188749428137,1,0
主分组K=1,1,20.703125,46.875,167,152,21周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8922720945451559,0.10772790545484412,1,0
主分组K=1,1,20.703125,46.875,167,153,21周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8941161672767226,0.1058838327232774,1,0
主分组K=1,1,20.703125,46.875,167,154,22周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8959113380490912,0.10408866195090882,1,0
主分组K=1,1,20.703125,46.875,167,155,22周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.897658617228258,0.10234138277174198,1,0
主分组K=1,1,20.703125,46.875,167,156,22周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8993590163005301,0.10064098369946994,1,0
主分组K=1,1,20.703125,46.875,167,157,22周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9010135460848648,0.09898645391513516,1,0
主分组K=1,1,20.703125,46.875,167,158,22周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9026232150541252,0.09737678494587476,1,0
主分组K=1,1,20.703125,46.875,167,159,22周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9041890277642749,0.0958109722357251,1,0
主分组K=1,1,20.703125,46.875,167,160,22周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9057119833900635,0.09428801660993646,1,0
主分组K=1,1,20.703125,46.875,167,161,23周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9071930743653157,0.09280692563468429,1,0
主分组K=1,1,20.703125,46.875,167,162,23周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.908633285125563,0.09136671487443704,1,0
主分组K=1,1,20.703125,46.875,167,163,23周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9100335909504114,0.08996640904958864,1,0
主分组K=1,1,20.703125,46.875,167,164,23周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.91139495690276,0.08860504309724004,1,0
主分组K=1,1,20.703125,46.875,167,165,23周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.912718336861733,0.08728166313826702,1,0
主分组K=1,1,20.703125,46.875,167,166,23周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.914004672645982,0.08599532735401805,1,0
主分组K=1,1,20.703125,46.875,167,167,23周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9152548932238546,0.08474510677614544,1,0
主分组K=1,1,20.703125,46.875,167,168,24周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9164699140067961,0.08353008599320388,1,0
主分组K=1,1,20.703125,46.875,167,169,24周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9176506362222481,0.08234936377775193,1,0
主分组K=1,1,20.703125,46.875,167,170,24周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9187979463622602,0.0812020536377398,1,0
主分组K=1,1,20.703125,46.875,167,171,24周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9199127157039771,0.08008728429602285,1,0
主分组K=1,1,20.703125,46.875,167,172,24周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9209957998981719,0.07900420010182807,1,0
主分组K=1,1,20.703125,46.875,167,173,24周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9220480386220011,0.07795196137799887,1,0
主分组K=1,1,20.703125,46.875,167,174,24周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9230702552921962,0.07692974470780378,1,0
主分组K=1,1,20.703125,46.875,167,175,25周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9240632568349624,0.07593674316503762,1,1
固定两组敏感性,1,20.703125,36.43617476,151,70,10周0天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5898059019497109,0.41019409805028906,1,1
固定两组敏感性,1,20.703125,36.43617476,151,71,10周1天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5949477088291127,0.40505229117088726,1,0
固定两组敏感性,1,20.703125,36.43617476,151,72,10周2天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.6001047203309197,0.39989527966908034,1,0
固定两组敏感性,1,20.703125,36.43617476,151,73,10周3天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.6052751306613784,0.3947248693386216,1,0
固定两组敏感性,1,20.703125,36.43617476,151,74,10周4天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.6104570858680382,0.38954291413196185,1,0
固定两组敏感性,1,20.703125,36.43617476,151,75,10周5天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.6156486859138073,0.3843513140861927,1,0
固定两组敏感性,1,20.703125,36.43617476,151,76,10周6天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.6208479869521065,0.3791520130478935,1,0
固定两组敏感性,1,20.703125,36.43617476,151,77,11周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6260530038021098,0.3739469961978902,1,1
固定两组敏感性,1,20.703125,36.43617476,151,78,11周1天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6312617126219204,0.36873828737807957,1,0
固定两组敏感性,1,20.703125,36.43617476,151,79,11周2天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6364720537763183,0.3635279462236817,1,0
固定两组敏感性,1,20.703125,36.43617476,151,80,11周3天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6416819348944998,0.35831806510550024,1,0
固定两组敏感性,1,20.703125,36.43617476,151,81,11周4天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6468892341119459,0.3531107658880541,1,0
固定两组敏感性,1,20.703125,36.43617476,151,82,11周5天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.652091803489278,0.347908196510722,1,0
固定两组敏感性,1,20.703125,36.43617476,151,83,11周6天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6572874725996507,0.3427125274003493,1,0
固定两组敏感性,1,20.703125,36.43617476,151,84,12周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6624740522749457,0.3375259477250543,1,1
固定两组敏感性,1,20.703125,36.43617476,151,85,12周1天,12周后至13周前（题面未单列）,主样本观测范围内,0.6676493384997324,0.3323506615002676,1,1
固定两组敏感性,1,20.703125,36.43617476,151,86,12周2天,12周后至13周前（题面未单列）,主样本观测范围内,0.6728111164407017,0.3271888835592983,1,0
固定两组敏感性,1,20.703125,36.43617476,151,87,12周3天,12周后至13周前（题面未单列）,主样本观测范围内,0.6779571645980669,0.3220428354019331,1,0
固定两组敏感性,1,20.703125,36.43617476,151,88,12周4天,12周后至13周前（题面未单列）,主样本观测范围内,0.6830852590642382,0.3169147409357618,1,0
固定两组敏感性,1,20.703125,36.43617476,151,89,12周5天,12周后至13周前（题面未单列）,主样本观测范围内,0.6881931778739826,0.3118068221260174,1,0
固定两组敏感性,1,20.703125,36.43617476,151,90,12周6天,12周后至13周前（题面未单列）,主样本观测范围内,0.6932787054292464,0.3067212945707536,1,1
固定两组敏感性,1,20.703125,36.43617476,151,91,13周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6983396369808843,0.3016603630191157,1,1
固定两组敏感性,1,20.703125,36.43617476,151,92,13周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7033737831487039,0.2966262168512961,1,0
固定两组敏感性,1,20.703125,36.43617476,151,93,13周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7083789744605159,0.2916210255394841,1,0
固定两组敏感性,1,20.703125,36.43617476,151,94,13周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7133530658902933,0.28664693410970665,1,0
固定两组敏感性,1,20.703125,36.43617476,151,95,13周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7182939413750923,0.2817060586249077,1,0
固定两组敏感性,1,20.703125,36.43617476,151,96,13周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7231995182900759,0.2768004817099241,1,0
固定两组敏感性,1,20.703125,36.43617476,151,97,13周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7280677518608321,0.27193224813916794,1,0
固定两组敏感性,1,20.703125,36.43617476,151,98,14周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7328966394921882,0.2671033605078118,1,0
固定两组敏感性,1,20.703125,36.43617476,151,99,14周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7376842249928903,0.2623157750071097,1,0
固定两组敏感性,1,20.703125,36.43617476,151,100,14周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7424286026758548,0.25757139732414525,1,0
固定两组敏感性,1,20.703125,36.43617476,151,101,14周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7471279213142029,0.2528720786857971,1,0
固定两组敏感性,1,20.703125,36.43617476,151,102,14周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7517803879339597,0.24821961206604026,1,0
固定两组敏感性,1,20.703125,36.43617476,151,103,14周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7563842714251284,0.24361572857487157,1,0
固定两组敏感性,1,20.703125,36.43617476,151,104,14周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7609379059538288,0.23906209404617118,1,0
固定两组敏感性,1,20.703125,36.43617476,151,105,15周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7654396941593353,0.23456030584066467,1,0
固定两组敏感性,1,20.703125,36.43617476,151,106,15周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7698881101211095,0.23011188987889053,1,0
固定两组敏感性,1,20.703125,36.43617476,151,107,15周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7742817020823274,0.22571829791767262,1,0
固定两组敏感性,1,20.703125,36.43617476,151,108,15周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7786190949179057,0.2213809050820943,1,0
固定两组敏感性,1,20.703125,36.43617476,151,109,15周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7828989923366518,0.21710100766334817,1,0
固定两组敏感性,1,20.703125,36.43617476,151,110,15周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7871201788088505,0.21287982119114945,1,0
固定两组敏感性,1,20.703125,36.43617476,151,111,15周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7912815212123541,0.20871847878764593,1,0
固定两组敏感性,1,20.703125,36.43617476,151,112,16周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7953819701920636,0.20461802980793642,1,0
固定两组敏感性,1,20.703125,36.43617476,151,113,16周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7994205612295168,0.20057943877048323,1,0
固定两组敏感性,1,20.703125,36.43617476,151,114,16周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8033964154211481,0.19660358457885185,1,0
固定两组敏感性,1,20.703125,36.43617476,151,115,16周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8073087399656286,0.19269126003437143,1,0
固定两组敏感性,1,20.703125,36.43617476,151,116,16周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.811156828362509,0.18884317163749098,1,0
固定两组敏感性,1,20.703125,36.43617476,151,117,16周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8149400603261554,0.1850599396738446,1,0
固定两组敏感性,1,20.703125,36.43617476,151,118,16周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8186579014206812,0.18134209857931882,1,0
固定两组敏感性,1,20.703125,36.43617476,151,119,17周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8223099024232022,0.17769009757679777,1,0
固定两组敏感性,1,20.703125,36.43617476,151,120,17周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8258956984242906,0.17410430157570944,1,0
固定两组敏感性,1,20.703125,36.43617476,151,121,17周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8294150076759259,0.1705849923240741,1,0
固定两组敏感性,1,20.703125,36.43617476,151,122,17周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8328676301985622,0.16713236980143775,1,0
固定两组敏感性,1,20.703125,36.43617476,151,123,17周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8362534461601155,0.16374655383988446,1,0
固定两组敏感性,1,20.703125,36.43617476,151,124,17周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.839572414040722,0.16042758595927797,1,0
固定两组敏感性,1,20.703125,36.43617476,151,125,17周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8428245685980353,0.15717543140196466,1,0
固定两组敏感性,1,20.703125,36.43617476,151,126,18周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8460100186485768,0.15398998135142317,1,0
固定两组敏感性,1,20.703125,36.43617476,151,127,18周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8491289446812756,0.15087105531872436,1,0
固定两组敏感性,1,20.703125,36.43617476,151,128,18周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8521815963197956,0.14781840368020438,1,0
固定两组敏感性,1,20.703125,36.43617476,151,129,18周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8551682896505478,0.1448317103494522,1,0
固定两组敏感性,1,20.703125,36.43617476,151,130,18周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8580894044334636,0.1419105955665364,1,0
固定两组敏感性,1,20.703125,36.43617476,151,131,18周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8609453812126294,0.13905461878737058,1,0
固定两组敏感性,1,20.703125,36.43617476,151,132,18周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8637367183437613,0.1362632816562387,1,0
固定两组敏感性,1,20.703125,36.43617476,151,133,19周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8664639689552768,0.13353603104472322,1,0
固定两组敏感性,1,20.703125,36.43617476,151,134,19周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8691277378593497,0.1308722621406503,1,0
固定两组敏感性,1,20.703125,36.43617476,151,135,19周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8717286784288812,0.12827132157111876,1,0
固定两组敏感性,1,20.703125,36.43617476,151,136,19周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8742674894557397,0.12573251054426027,1,0
固定两组敏感性,1,20.703125,36.43617476,151,137,19周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8767449120049832,0.12325508799501683,1,0
固定两组敏感性,1,20.703125,36.43617476,151,138,19周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8791617262790383,0.12083827372096168,1,0
固定两组敏感性,1,20.703125,36.43617476,151,139,19周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8815187485050179,0.11848125149498212,1,0
固定两组敏感性,1,20.703125,36.43617476,151,140,20周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.8838168278575007,0.11618317214249929,1,0
