模型角色,样本范围,参数,估计值,标准误,Wald95%下限,Wald95%上限,优化器,收敛标志,警告,推断可用标志,诊断说明,赤池信息准则（AIC）,贝叶斯信息准则（BIC）,对数似然,孕妇数,事件数
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,BMI个体内偏差,0.3389706140098996,0.004811440082995,0.3295403647334569,0.3484008632863422,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,年龄中心,-0.0016828964135745,0.0033304251568038,-0.0082104097741162,0.0048446169469672,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,生产次数中心,0.0174192089905454,0.0160630218591959,-0.0140637353363583,0.0489021533174491,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,Intercept,-2.619285258072453,0.028430577819225,-2.6750081666577974,-2.5635623494871083,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,孕周中心,0.0344367819503668,0.004038124871774,0.0265222026366143,0.0423513612641193,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,I(孕周中心 ** 2),0.0028540531545278,0.0005726727545235,0.0017316351807343,0.0039764711283214,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,妇间BMI中心,-0.0406720648693295,0.0091636492780752,-0.0586324874213134,-0.0227116423173456,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,BMI个体内偏差,0.0425709726853372,0.0164922278504972,0.0102468000735341,0.0748951452971403,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,年龄中心,-0.0121391863856927,0.0076704585396299,-0.0271730088682751,0.0028946360968895,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
第一问混合模型敏感性；全样本分段GEE另作主模型,全样本,生产次数中心,0.0389700927317087,0.04339444323078,-0.046081453129788,0.1240216385932056,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,707.6018492281391,761.7183715764606,-342.8009246140696,267,1012
