重复序号,有效标志,抽样技术误差标准差,左删失人数,区间删失人数,右删失人数,一组方案中位达标时间_天,两组方案低BMI组中位达标时间_天,两组方案高BMI组中位达标时间_天,一组方案第1组_12周0天已达标比例,一组方案第1组_13周0天已达标比例,一组方案第1组_25周0天已达标比例,两组方案第1组_12周0天已达标比例,两组方案第1组_13周0天已达标比例,两组方案第1组_25周0天已达标比例,两组方案第2组_12周0天已达标比例,两组方案第2组_13周0天已达标比例,两组方案第2组_25周0天已达标比例
24,1,0.004527993176816164,115,44,8,73,70,100,0.6330008998264217,0.7018196719290704,0.9675687157986439,0.6699791534935506,0.7347692668019967,0.9723110205842913,0.336898936136452,0.40944049845660246,0.8978358167124262
25,1,0.004802469711927175,117,40,10,72,70,92,0.6468575557064983,0.71494692848112,0.9703184506850849,0.6716956498601199,0.7369435384896381,0.9733436121818336,0.41163994698719714,0.4892737167272974,0.9258521887148173
26,1,0.006272281968140327,115,43,9,73,70,107,0.6407001359675284,0.7126430324406583,0.9734817790937412,0.6794697729987205,0.7467186118335775,0.9775986716014876,0.26946925102533625,0.339064510490775,0.8836363870844383
27,1,0.0057680179384928835,115,41,11,71,70,111,0.6425887899692797,0.703887997149209,0.9588055784229492,0.6538729674830391,0.7140979122741332,0.9607164962577032,0.2744000624018779,0.33333309662519167,0.8303846426391185
28,1,0.004835029837881492,113,44,10,75,73,99,0.6281101895033028,0.7097759921454776,0.9805172264493173,0.6568119359632908,0.7348357350556393,0.9827670807355116,0.3186761768946412,0.4037933986186673,0.9330535345008003
29,1,0.004179354171830336,116,42,9,74,72,93,0.6350212765445413,0.7116789086416844,0.9772631630416687,0.6622941356424165,0.7356085046205262,0.9797766076885613,0.39061645724280786,0.4762705708650226,0.9406002622463953
30,1,0.004683015664802823,117,40,10,71,70,96,0.6535342931370696,0.7184370533196222,0.9678568029931688,0.6655550901909668,0.7291393013192483,0.9694812947254984,0.3766018080930589,0.4496991921268378,0.9060451766952045
31,1,0.004129855210802476,120,39,8,70,70,96,0.6657016086138033,0.7293263522397692,0.9695790313528236,0.6657016086138033,0.7293263522397692,0.9695790313528236,0.37648862060247884,0.449651398177557,0.9062295710369301
32,1,0.005837930403660166,118,41,8,72,70,99,0.6520944780177426,0.7220155693084,0.9739065938060915,0.6776672725830504,0.744462856484792,0.9766708567980047,0.33857843227945683,0.41498076800056616,0.910661490276571
33,1,0.004451513786001527,121,36,10,70,70,97,0.6591066224495246,0.7208673277071347,0.9648894677364401,0.6591066224495246,0.7208673277071347,0.9648894677364401,0.37276956202955086,0.44252980639934175,0.894149311592546
34,1,0.003935592431461012,119,38,10,70,70,101,0.668733649134682,0.733188041735846,0.9715393237427405,0.668733649134682,0.733188041735846,0.9715393237427405,0.32957671319394277,0.40090272128169563,0.8926207789305158
35,1,0.004289918731918637,116,41,10,72,70,96,0.6506152853030257,0.7200250249312238,0.9729357719274786,0.6759821551344748,0.7423481288379167,0.975772200382236,0.368517996895359,0.4462734706117778,0.9184731650204494
36,1,0.004458477984967358,120,38,9,70,70,96,0.6593921627345416,0.7212352348057125,0.965105243150072,0.6593921627345416,0.7212352348057125,0.965105243150072,0.38135276936419016,0.4517010824121057,0.898028051670835
37,1,0.004839551949717812,110,47,10,76,74,101,0.6036805340686656,0.6807852806191809,0.9708854699672749,0.6301726284096872,0.7046449605009324,0.9738931556683298,0.3154096239204499,0.3921246608351704,0.9098002277853398
38,1,0.004814779064796472,115,42,10,73,70,105,0.63666260445025,0.7069841298653556,0.9705182246884003,0.6744999264422151,0.7404833604481383,0.9749560176964949,0.2907498111592008,0.360805043721404,0.8850762273319842
39,1,0.005665413634122951,126,34,7,70,70,95,0.6558622511766213,0.7166767159769398,0.9623522884807527,0.6558622511766213,0.7166767159769398,0.9623522884807527,0.39286412220169775,0.46203289587015606,0.8966839603738356
40,1,0.003955884507189488,115,40,12,72,70,108,0.638074456985636,0.7029613515751612,0.9632719307825974,0.6616460356865954,0.7241340218041357,0.9667670634498338,0.2840588724091325,0.3475120698535422,0.8551231672467529
41,1,0.003988200725613214,117,42,8,72,70,100,0.6550716266230855,0.7260073117791352,0.975764216918476,0.6810550042861637,0.7486970557637774,0.9783869385607225,0.32618969208716614,0.4031351897470594,0.9112111407179082
42,1,0.0049064267142643935,114,45,8,74,72,103,0.6321247876369601,0.7074842635766507,0.9753025382002846,0.6588921455321197,0.7311008527395699,0.9779698170623845,0.29506971717409725,0.3707423677796967,0.9058357116831728
43,1,0.005518730213690346,121,39,7,71,70,103,0.670840266564126,0.7409543131052824,0.9785434088553994,0.683964997865512,0.7523155667524768,0.9797689679234669,0.2966126077704963,0.37179258803113363,0.9041806477425841
44,1,0.00529911035163076,115,43,9,74,71,102,0.6303753507895227,0.704940262129978,0.9740429347503126,0.6699868005245309,0.7398584886972572,0.9781039457424991,0.3062505415160417,0.3821105638615354,0.9066564462309085
45,1,0.0051611022285420576,118,43,6,73,71,99,0.6562028250688455,0.7340084534451999,0.982479791600913,0.6844627053488349,0.7582291446528848,0.984551343706057,0.3193630899198333,0.40418383576352956,0.9323654825760812
46,1,0.004933305891011638,122,36,9,70,70,98,0.6559619631599214,0.7168057917406514,0.9624326511698804,0.6559619631599214,0.7168057917406514,0.9624326511698804,0.3668774488934109,0.4347947911986136,0.8861840588047535
47,1,0.004288895750096157,123,35,9,70,70,100,0.6686859248494428,0.7331273943809801,0.9715093724379389,0.6686859248494428,0.7331273943809801,0.9715093724379389,0.3381483574598497,0.4101715335100737,0.8961789484940416
48,1,0.004895711524078638,120,38,9,71,70,101,0.6633008865006207,0.7312205631129105,0.9743664910748467,0.6759542810128463,0.7423131009333422,0.9757570760173374,0.3222973162573402,0.3964092669714711,0.9017315499196122
49,1,0.008963286269715764,118,39,10,71,70,98,0.6572837502025352,0.723367456328844,0.9705153400888102,0.6695502547864175,0.7342250964833701,0.9720474380396681,0.35502056848312263,0.4287315178268184,0.904279102539834
50,1,0.003844426946611147,115,42,10,72,70,102,0.6441042649146334,0.7112070541423189,0.968255575548913,0.6685498758292656,0.7329544812700203,0.9714238333350496,0.32143682380040606,0.39194453852008565,0.8886850771648688
51,1,0.007745210691114973,121,37,9,70,70,96,0.6535334305164644,0.7136570526590594,0.9604310216121532,0.6535334305164644,0.7136570526590594,0.9604310216121532,0.3858517217080235,0.4535894123256098,0.8899221489279588
52,1,0.005197875816861034,120,39,8,70,70,92,0.6660754401021495,0.7298034161583346,0.9698271236045727,0.6660754401021495,0.7298034161583346,0.9698271236045727,0.41470995920714326,0.48965383845939686,0.9194693214643178
53,1,0.006902916666320506,116,42,9,73,71,96,0.6379721867838869,0.7088237414903209,0.9715114538197708,0.6634507327175762,0.7314151837212478,0.974456259626214,0.3684156755724236,0.44622994524748494,0.9186210976357996
54,1,0.00431295532968592,117,41,9,71,70,91,0.6510796816807836,0.715194312467426,0.9660004217649251,0.6629377554519341,0.7257911298071646,0.9676870664437043,0.42630112935161757,0.5,0.9187937183263745
55,1,0.0052363542341701775,112,46,9,75,71,109,0.6094295492335743,0.6811698507901578,0.9653231634458627,0.6592796241766516,0.7259804869260711,0.9718474700013665,0.26447959849097075,0.32991357370510943,0.8651408993269255
56,1,0.005762249261086724,116,43,8,73,70,100,0.6399463344909523,0.7115893986147218,0.9729503396235751,0.6785431175611764,0.7455597547166372,0.977125938589694,0.3286198148201237,0.4045723261676483,0.9083034111490985
57,1,0.004505662728453449,118,40,9,72,70,95,0.6533832865662074,0.723746001426584,0.9747262633449509,0.6791344627710145,0.7462994787956186,0.9774286427262494,0.37611189213753327,0.4558877628007051,0.9250039262917261
58,1,0.005473471267381032,116,44,7,74,71,100,0.6361690410272669,0.7133350174052736,0.9779989949300718,0.6772622368343609,0.7491493149727756,0.9816005554947197,0.3167770035187561,0.3975314930505722,0.9217973820856952
59,1,0.005352497488638204,120,41,6,71,70,98,0.6650911332213587,0.7335426895238564,0.9754204120507106,0.6778578242639398,0.7447016318999391,0.9767705565377917,0.3477381858458876,0.4249733204674704,0.9141890236516151
60,1,0.004078706883791314,115,43,9,72,70,102,0.6408023563291727,0.7067010113758598,0.9656089318533858,0.664771776097822,0.728138607965371,0.9689539638626401,0.3253984979819059,0.39448344813709474,0.8836072233468321
61,1,0.004174292822604903,117,40,10,71,70,104,0.6520932667049029,0.7165347669234209,0.9667784530975364,0.6640187110034441,0.7271754728103547,0.9684392772908186,0.3104467013881583,0.3777880099856462,0.8748441251348708
62,1,0.004334695268006783,120,36,11,70,70,99,0.6496250160946528,0.708567752754863,0.957008688476076,0.6496250160946528,0.708567752754863,0.957008688476076,0.3643864714857442,0.4291478166843484,0.8731439459918618
63,1,0.003917444957291846,121,36,10,70,70,94,0.6614492847609519,0.7238813452536714,0.9666248831498879,0.6614492847609519,0.7238813452536714,0.9666248831498879,0.398147803137155,0.4702473930931195,0.9074636425486827
64,1,0.004561835400563702,118,40,9,71,70,103,0.6556748109763154,0.7212551820306283,0.9694000222519625,0.6678363066324082,0.7320469829786768,0.9709713823093016,0.3140781289948447,0.3835507366712738,0.8839600852037187
65,1,0.004171927113010248,119,40,8,71,70,95,0.6676180329939752,0.7368089189789037,0.9768408341292019,0.6805431917047629,0.7480588450292028,0.9781352223396774,0.37508737163163086,0.45550899207125967,0.9264945657717002
66,1,0.00448581138253622,119,38,10,70,70,98,0.6652134513950109,0.7287029953993871,0.9692523017430041,0.6652134513950109,0.7287029953993871,0.9692523017430041,0.358811903947891,0.4306775507121463,0.8987643998896576
67,1,0.005712256626935142,115,42,10,71,70,102,0.6469351660101793,0.7096926161639029,0.9626443322709917,0.6585152133819495,0.7201048491579489,0.9644387403303125,0.33196528055466107,0.39866936707869105,0.8748232608855623
68,1,0.004935775021714956,116,41,10,72,70,94,0.6491306909077518,0.7180224219497208,0.9719281481039814,0.6742896150037355,0.7402184199109283,0.9748382207081594,0.38962157161554056,0.46768256332744024,0.9227556765512596
69,1,0.006169991688306409,115,44,8,74,71,106,0.6335122772743228,0.70949632300853,0.976260661747216,0.6739303771120303,0.7449087882458064,0.9800680421138179,0.26806465638683896,0.3410004056113489,0.8970453460624098
70,1,0.0038942234360313903,115,44,8,74,71,103,0.6349503109661638,0.7115763988420369,0.9772169190750027,0.6757347520762615,0.7472082797781001,0.9809118703924239,0.2910136418462431,0.3679719985708333,0.9100880954528986
71,1,0.004301480029450951,119,38,10,70,70,106,0.6518656851025073,0.7114886802689571,0.9590016835988618,0.6518656851025073,0.7114886802689571,0.9590016835988618,0.3099608428028415,0.3717007776796588,0.8487472666320833
72,1,0.005333605245544195,118,38,11,71,70,98,0.6591221182590886,0.7257745701894514,0.9717443692802823,0.671507809073631,0.736705880088784,0.9732323314117278,0.3533069530986249,0.42784961509777925,0.9066906467819351
73,1,0.0037999458313633617,117,40,10,71,70,102,0.6503243146260439,0.7141940510874081,0.9654098979428745,0.6621320202615354,0.7247578391124547,0.9671159248257176,0.3281682092080187,0.39625233132463955,0.8799586279371889
74,1,0.0037838127364544275,120,37,10,70,70,103,0.6611186565564194,0.7234565766680323,0.966384725630042,0.6611186565564194,0.7234565766680323,0.966384725630042,0.32138332956507476,0.3884024387854259,0.8746677974524764
75,1,0.00399124164238731,118,40,9,70,70,96,0.6648647139863073,0.7282573975287008,0.9690169561293742,0.6648647139863073,0.7282573975287008,0.9690169561293742,0.37713498265377476,0.44992426368388533,0.9051724991689573
76,1,0.006410431155940673,117,42,8,72,71,78,0.6503791218036464,0.7197067785859408,0.9727777372800164,0.6630740200956124,0.7309258200436615,0.9742300347797801,0.574052458678086,0.6503791218036464,0.9628101007235907
77,1,0.0035631266027677084,118,40,9,71,70,102,0.657938195129657,0.7242251514417732,0.9709583297562051,0.6702472270014982,0.735109208383234,0.9724746263378649,0.3196579452304105,0.3908010733754501,0.8909117410444731
78,1,0.004579090571799217,118,38,11,70,70,102,0.6547509189274704,0.7152369104480335,0.9614461265011337,0.6547509189274704,0.7152369104480335,0.9614461265011337,0.33591984002342146,0.40117712868594285,0.8693090013545612
79,1,0.007510817477841641,112,48,7,76,74,104,0.612262685608995,0.6947010555460892,0.9782691750717432,0.6407362663746774,0.7198904001128713,0.9807117211258546,0.2739120529817609,0.35217161562108795,0.9149286454992993
80,1,0.005327237568230731,122,38,7,70,70,98,0.6752551895304297,0.7414340872614108,0.9753749517947712,0.6752551895304297,0.7414340872614108,0.9753749517947712,0.3500225011633421,0.426155125296832,0.9111749739856363
81,1,0.006518826339585465,118,42,7,73,70,100,0.6491298472483322,0.7243336734905544,0.9788007363148961,0.6897936296819176,0.759510755826762,0.9822994374021631,0.31772892361151966,0.398100971375832,0.9207744754973218
82,1,0.0038911105613824953,119,39,9,70,70,100,0.673250442533109,0.7389080439270072,0.9742487957651318,0.673250442533109,0.7389080439270072,0.9742487957651318,0.3337375417944021,0.4075865771008809,0.9019368751209441
83,1,0.004970132074850628,119,40,8,70,70,110,0.6686680135711981,0.7331046318540342,0.9714981241590325,0.6686680135711981,0.7331046318540342,0.9714981241590325,0.26143118013866207,0.3251336554566615,0.8567014630462384
84,1,0.00414892080501876,116,41,10,72,70,105,0.6443124943454563,0.7114904576387692,0.968416062426431,0.6687879355509575,0.7332570228556052,0.971573358864216,0.2973298817904463,0.36550655362507156,0.8774860902804495
85,1,0.004430378668790612,118,39,10,70,70,102,0.6564508441980114,0.7174383836905539,0.9628244428098615,0.6564508441980114,0.7174383836905539,0.9628244428098615,0.33413366238264885,0.40004561776528436,0.8718207476201695
86,1,0.003969549902125624,117,38,12,70,70,107,0.6509217687004755,0.7102592584055439,0.958172397967682,0.6509217687004755,0.7102592584055439,0.958172397967682,0.30426099536567636,0.36504381541424274,0.8430751571844933
87,1,0.004032060631407455,121,37,9,70,70,100,0.6709934693111542,0.7360547811035609,0.9729254772458812,0.6709934693111542,0.7360547811035609,0.9729254772458812,0.3359188364784956,0.40886639019610693,0.8991211700714895
88,1,0.004753966717294151,118,40,9,70,70,100,0.6658084923917678,0.7294627785604615,0.9696501513581259,0.6658084923917678,0.7294627785604615,0.9696501513581259,0.34092759361184194,0.4117943625615087,0.8924190910639983
89,1,0.0047019951049237126,122,35,10,70,70,113,0.6480524606952373,0.7065125921919678,0.955558747574921,0.6480524606952373,0.7065125921919678,0.955558747574921,0.2703110637377888,0.32628670657590564,0.8122342534714562
90,1,0.005161276138749388,120,38,9,70,70,95,0.6696960613755185,0.7344101300201895,0.9721372972356882,0.6696960613755185,0.7344101300201895,0.9721372972356882,0.382944179687652,0.45840470285812185,0.9143799813510232
91,1,0.003922150025435832,118,40,9,70,70,108,0.6643545862786358,0.727605172798406,0.9686697744484204,0.6643545862786358,0.727605172798406,0.9686697744484204,0.2806728782457187,0.3449343999607282,0.859053807848469
92,1,0.004567727387628738,116,43,8,74,71,99,0.6389027177575869,0.7172653952449871,0.9796627125558276,0.6806826589778756,0.7534770099017088,0.983061096591261,0.3230803205615875,0.4062911065373301,0.9285413437990914
93,1,0.0051665528185594785,114,43,10,73,71,98,0.6329633025158836,0.7017664878750686,0.9675370662683865,0.6576428189361807,0.7238381472498299,0.9707591463578116,0.3546859201920069,0.4285594083714837,0.9047539693590074
94,1,0.0044357337730596275,116,38,13,70,70,107,0.654077561720344,0.7143634618869538,0.9608876225438548,0.654077561720344,0.7143634618869538,0.9608876225438548,0.30036438624742284,0.3621827410639656,0.8479798559073026
95,1,0.00594508777396263,120,39,8,70,70,99,0.6747867907935187,0.7408445983826589,0.9751158895881921,0.6747867907935187,0.7408445983826589,0.9751158895881921,0.3412385832518164,0.41645763270013075,0.907260197867843
96,1,0.004226185772482666,117,41,9,73,70,99,0.6427239927182112,0.7154652925731607,0.97486115080739,0.6819549377636435,0.7498179485783865,0.9788231910520604,0.33461453487957604,0.41277237922598115,0.9155439093288947
97,1,0.005666270826228282,115,43,9,73,70,110,0.6363410678495404,0.706531855536852,0.9702695141168584,0.6741034648680426,0.7399838440878569,0.9747335394670023,0.2544567236410274,0.3195367614174566,0.8642327663281735
98,1,0.006358659817733133,110,49,8,77,75,104,0.5935726661630253,0.6741850063388409,0.972712807326316,0.6208863225419775,0.6988299256595738,0.9755942696037665,0.28299100977941993,0.35864435394346555,0.9059573372037855
99,1,0.0054605377723809115,116,41,10,72,70,107,0.639750500827697,0.7052608309308455,0.9647243847510095,0.663566986324291,0.7265972292481188,0.9681268710860833,0.28872079420984975,0.35356405680384145,0.8620906878287069
100,1,0.004782025912034884,116,43,8,72,70,98,0.64807417351831,0.7165943605472608,0.9711902212119798,0.6730843450398034,0.7386984021297937,0.9741534373638965,0.3519258264816904,0.42713774769617546,0.9085982196422341
101,1,0.005339729024758323,121,39,7,70,70,100,0.6784887081074511,0.745491657706016,0.9770979033854773,0.6784887081074511,0.745491657706016,0.9770979033854773,0.32867244407658974,0.40460340811611717,0.908239624957696
102,1,0.0042422118141936214,120,37,10,70,70,101,0.6503738629401976,0.709544916635744,0.9576841839413589,0.6503738629401976,0.709544916635744,0.9576841839413589,0.34809330123008975,0.4121852380626918,0.866602069225797
103,1,0.004654365375448861,110,46,11,75,72,107,0.6086412277053944,0.679941749342565,0.9644849767683792,0.6458104965417605,0.7135265691216751,0.9695488830454505,0.28028657401275947,0.3472519331767066,0.8718028105930226
104,1,0.003837034524780174,119,39,9,70,70,99,0.6574618849063477,0.7187452666903152,0.9636230923475265,0.6574618849063477,0.7187452666903152,0.9636230923475265,0.35719317504404074,0.4252335732496261,0.8846473059463948
105,1,0.0037260044091821302,115,41,11,73,70,103,0.6373445224334733,0.7079425336131431,0.971039340079916,0.6753404175083428,0.7415413017424551,0.9754218269094364,0.3059386731243341,0.378100047791395,0.8937276450897231
106,1,0.0044404381592863225,120,39,8,70,70,102,0.670404703528028,0.7353088383353692,0.9725703274804637,0.670404703528028,0.7353088383353692,0.9725703274804637,0.3194929348577999,0.39069489476522146,0.8911166236012099
107,1,0.005927190736697004,121,40,6,71,70,91,0.6784316138774131,0.7506318024482768,0.9821123521370226,0.692015111227224,0.7622343202606945,0.9831858756125269,0.4120708147233349,0.5,0.948024631278154
108,1,0.004425185909017416,118,40,9,72,70,100,0.652159255437785,0.7221026305893518,0.9739483678314884,0.6777410388991469,0.7445552997698981,0.976709498318215,0.3293956117575078,0.4050303192657299,0.9073596363160127
109,1,0.004286735976110929,118,40,9,72,70,106,0.6563981105074111,0.7277795087682393,0.9765520407838475,0.6825627348811077,0.750574044027771,0.9791133050429112,0.2735294414309343,0.3450913211514243,0.8914048633776612
110,1,0.0048606865492834845,112,47,8,76,73,100,0.6116806813400726,0.6937646980430129,0.9778306995964982,0.6541264204068391,0.7311812452975179,0.9814665911516015,0.31183155953375263,0.39456250077320637,0.9269445643478893
111,1,0.004332512586276259,119,39,9,70,70,94,0.6659162341558694,0.7296002782085655,0.9697216906712921,0.6659162341558694,0.7296002782085655,0.9697216906712921,0.39519306811732935,0.46936056637881945,0.9130351630585356
112,1,0.003948847792100385,122,33,12,70,70,100,0.6485327734087015,0.7071407597305781,0.9560061691808239,0.6485327734087015,0.7071407597305781,0.9560061691808239,0.35759377622633326,0.42143590640587425,0.867645083702259
113,1,0.005184083411556067,113,46,8,74,73,89,0.6274850556094492,0.7007201854333424,0.9718296867847636,0.6404723508400195,0.7123247836293175,0.9733222163371467,0.44081294642537827,0.522839984159568,0.9416737022948621
114,1,0.006631474219531337,122,38,7,70,70,95,0.6822946794371706,0.7502406778040164,0.9789858027378697,0.6822946794371706,0.7502406778040164,0.9789858027378697,0.37381178978104157,0.4550368958695344,0.9283145590092874
115,1,0.0046816822703887985,119,38,10,70,70,97,0.6625451893415238,0.7252878456666401,0.9674099220695532,0.6625451893415238,0.7252878456666401,0.9674099220695532,0.3699429286138048,0.44120475574009776,0.898757590176608
116,1,0.004392551173106004,121,38,8,70,70,92,0.6733512952466058,0.7390353099628225,0.9743065413267841,0.6733512952466058,0.7390353099628225,0.9743065413267841,0.4107317808139739,0.48916111019347686,0.9276518489886334
117,1,0.004722240028168501,123,36,8,70,70,91,0.6623512729359342,0.7250391322444873,0.9672722333506355,0.6623512729359342,0.7250391322444873,0.9672722333506355,0.426582842953104,0.5,0.9180888679900157
118,1,0.0051839628296526516,118,41,8,71,70,89,0.6636484856711724,0.7316719544870331,0.9745742892259933,0.6763239441275603,0.7427775113304572,0.9759569616279823,0.4418389658915705,0.5224409437258591,0.9389427174135674
119,1,0.0040228005631957765,116,41,10,72,70,101,0.6434519002140678,0.7103185868065552,0.967747938494662,0.6678039008845896,0.7320057471558487,0.9709506824476415,0.33051415215120905,0.40147889221292027,0.8914028238570634
120,1,0.006296208721703248,121,36,10,70,70,103,0.6476994919804608,0.7060507173570791,0.9552273673323679,0.6476994919804608,0.7060507173570791,0.9552273673323679,0.3360261808509429,0.39802139852410384,0.8545019823398557
121,1,0.005719664062572585,118,39,10,70,70,105,0.6621149409285958,0.7247359232196294,0.9671037205733116,0.6621149409285958,0.7247359232196294,0.9671037205733116,0.30505107569342266,0.37097972178954625,0.8681676343828196
122,1,0.006136601799088193,115,44,8,73,70,99,0.6384737895476459,0.7095273120000358,0.971883617773812,0.6767312972432908,0.7432889576968026,0.9761755016836385,0.33944305959415055,0.4154612420127829,0.9095670861135908
123,1,0.003929490207508579,117,40,10,70,70,98,0.6563979692850469,0.717369986394718,0.9627822460258587,0.6563979692850469,0.717369986394718,0.9627822460258587,0.36649799399887095,0.4346017572834768,0.8868024860654267
124,1,0.0035755233645730442,116,42,9,71,70,99,0.6500716854137273,0.7138592717537958,0.9652103355373463,0.6618625151642669,0.7244119521112801,0.9669228709909694,0.3531476634628086,0.4230210147470447,0.890751424859972
125,1,0.005915380379682757,120,39,8,70,70,96,0.6653254385823445,0.7288460381089488,0.969327534181712,0.6653254385823445,0.7288460381089488,0.969327534181712,0.3767791945759365,0.4497740848328016,0.9057555859064197
126,1,0.004954510438304719,121,39,7,70,70,98,0.6688980199077484,0.7333968884491957,0.9716422641289121,0.6688980199077484,0.7333968884491957,0.9716422641289121,0.35559120844197045,0.42902486933169937,0.9034649474336365
127,1,0.004032054666887166,116,42,9,72,70,99,0.6409928964174957,0.7069616518998041,0.9657669795726085,0.6649899561571715,0.728417451514828,0.9691016618576295,0.35026975046032005,0.421441921244764,0.8949378310434545
128,1,0.006752469318839465,115,45,7,73,70,114,0.6401696765691739,0.7119017158764774,0.973108817900626,0.6788177324215151,0.7459033626166727,0.977266964781789,0.22210394039755835,0.28395851907260045,0.8531030935122771
