自助重复,结果类型,项目,数值
6,链接尺度参数,生产次数中心化,0.21323177985577949
7,原尺度边际效应（百分点）,个体内BMI,-0.10125989965231441
7,原尺度边际效应（百分点）,妇间BMI,-0.13180207101777622
7,原尺度边际效应（百分点）,孕周平均,0.3596005344864503
7,链接尺度参数,BMI个体内偏差,-0.016173540894611618
7,链接尺度参数,妇间BMI中心化,-0.02105182992398695
7,链接尺度参数,孕周中心化,0.049223742878550455
7,链接尺度参数,孕周二次项,0.005138214675106337
7,链接尺度参数,年龄中心化,-0.031034610001798947
7,链接尺度参数,截距,-2.7500616250383914
7,链接尺度参数,生产次数中心化,0.1805095498421034
8,原尺度边际效应（百分点）,个体内BMI,0.16519520724647904
8,原尺度边际效应（百分点）,妇间BMI,-0.17333063651547506
8,原尺度边际效应（百分点）,孕周平均,0.28450631248892255
8,链接尺度参数,BMI个体内偏差,0.026626913585849486
8,链接尺度参数,妇间BMI中心化,-0.027938219014984236
8,链接尺度参数,孕周中心化,0.04015305575591533
8,链接尺度参数,孕周二次项,0.004000589077822827
8,链接尺度参数,年龄中心化,-0.025676401758132805
8,链接尺度参数,截距,-2.7356216084077203
8,链接尺度参数,生产次数中心化,0.14375447951483178
9,原尺度边际效应（百分点）,个体内BMI,-0.1368126286125869
9,原尺度边际效应（百分点）,妇间BMI,-0.23687537390068286
9,原尺度边际效应（百分点）,孕周平均,0.3936980464577272
9,链接尺度参数,BMI个体内偏差,-0.020836913755432993
9,链接尺度参数,妇间BMI中心化,-0.036076726153190644
9,链接尺度参数,孕周中心化,0.05283516402112628
9,链接尺度参数,孕周二次项,0.004309300142000469
9,链接尺度参数,年龄中心化,-0.012135699190874453
9,链接尺度参数,截距,-2.678417301518378
9,链接尺度参数,生产次数中心化,0.13160094224085941
10,原尺度边际效应（百分点）,个体内BMI,-0.05994166788748839
10,原尺度边际效应（百分点）,妇间BMI,-0.14112207365713933
10,原尺度边际效应（百分点）,孕周平均,0.35236759448957444
10,链接尺度参数,BMI个体内偏差,-0.009256975494458003
10,链接尺度参数,妇间BMI中心化,-0.021793914377279337
10,链接尺度参数,孕周中心化,0.04777049621825558
10,链接尺度参数,孕周二次项,0.004319896662723686
10,链接尺度参数,年龄中心化,-0.014455146117806607
10,链接尺度参数,截距,-2.690856866383138
10,链接尺度参数,生产次数中心化,0.19061564552144653
11,原尺度边际效应（百分点）,个体内BMI,-0.6134781244519736
11,原尺度边际效应（百分点）,妇间BMI,-0.13614170252099958
11,原尺度边际效应（百分点）,孕周平均,0.44738031343142615
11,链接尺度参数,BMI个体内偏差,-0.09441192379778554
11,链接尺度参数,妇间BMI中心化,-0.020951684390695228
11,链接尺度参数,孕周中心化,0.05987080129963677
11,链接尺度参数,孕周二次项,0.0053385072541336205
11,链接尺度参数,年龄中心化,-0.014716439700237425
11,链接尺度参数,截距,-2.7079437363040055
11,链接尺度参数,生产次数中心化,0.0983978916362451
12,原尺度边际效应（百分点）,个体内BMI,-0.33604140958549317
12,原尺度边际效应（百分点）,妇间BMI,-0.2629218706259761
12,原尺度边际效应（百分点）,孕周平均,0.39452928664792003
12,链接尺度参数,BMI个体内偏差,-0.050366820554788444
12,链接尺度参数,妇间BMI中心化,-0.039407460806935975
12,链接尺度参数,孕周中心化,0.05255062590727675
12,链接尺度参数,孕周二次项,0.004277199987241795
12,链接尺度参数,年龄中心化,0.00025772291080101257
12,链接尺度参数,截距,-2.657004423251097
12,链接尺度参数,生产次数中心化,0.1498459388093559
13,原尺度边际效应（百分点）,个体内BMI,-0.27890490087747327
13,原尺度边际效应（百分点）,妇间BMI,-0.13952035471203572
13,原尺度边际效应（百分点）,孕周平均,0.25701338921623396
13,链接尺度参数,BMI个体内偏差,-0.046433504135711394
13,链接尺度参数,妇间BMI中心化,-0.02322805711608233
13,链接尺度参数,孕周中心化,0.038121097967269243
13,链接尺度参数,孕周二次项,0.004094778847641423
13,链接尺度参数,年龄中心化,-0.016539025474927714
13,链接尺度参数,截距,-2.767173083759405
13,链接尺度参数,生产次数中心化,0.16717228197427442
14,原尺度边际效应（百分点）,个体内BMI,-0.1192811943086202
14,原尺度边际效应（百分点）,妇间BMI,-0.19095396952002786
14,原尺度边际效应（百分点）,孕周平均,0.3612897842362464
14,链接尺度参数,BMI个体内偏差,-0.01896360040040606
14,链接尺度参数,妇间BMI中心化,-0.03035830412193846
14,链接尺度参数,孕周中心化,0.04854301569560225
14,链接尺度参数,孕周二次项,0.005671273988159454
14,链接尺度参数,年龄中心化,-0.015548283934121733
14,链接尺度参数,截距,-2.7513524402060963
14,链接尺度参数,生产次数中心化,0.17819854279507916
15,原尺度边际效应（百分点）,个体内BMI,-0.05250330217941387
15,原尺度边际效应（百分点）,妇间BMI,-0.1481633776154013
15,原尺度边际效应（百分点）,孕周平均,0.3190187366689586
15,链接尺度参数,BMI个体内偏差,-0.00845055147684247
15,链接尺度参数,妇间BMI中心化,-0.023847304789387548
15,链接尺度参数,孕周中心化,0.04522726578959148
15,链接尺度参数,孕周二次项,0.004119580526159745
15,链接尺度参数,年龄中心化,-0.026092550147373546
15,链接尺度参数,截距,-2.7363138002750196
15,链接尺度参数,生产次数中心化,0.07663724881470324
16,原尺度边际效应（百分点）,个体内BMI,-0.19530192503250535
16,原尺度边际效应（百分点）,妇间BMI,-0.22669372923420694
16,原尺度边际效应（百分点）,孕周平均,0.32698187731103195
16,链接尺度参数,BMI个体内偏差,-0.031941346206444246
16,链接尺度参数,妇间BMI中心化,-0.0370754301940167
16,链接尺度参数,孕周中心化,0.04627783551240599
16,链接尺度参数,孕周二次项,0.0049466507177011385
16,链接尺度参数,年龄中心化,-0.009864420960718842
16,链接尺度参数,截距,-2.7684084702624427
16,链接尺度参数,生产次数中心化,0.06560637828925528
17,原尺度边际效应（百分点）,个体内BMI,-0.1921494250929881
17,原尺度边际效应（百分点）,妇间BMI,-0.17884687590694234
17,原尺度边际效应（百分点）,孕周平均,0.3527794192151248
17,链接尺度参数,BMI个体内偏差,-0.031052636442842084
17,链接尺度参数,妇间BMI中心化,-0.028902855232529334
17,链接尺度参数,孕周中心化,0.04803684045944409
17,链接尺度参数,孕周二次项,0.0059335568291645924
17,链接尺度参数,年龄中心化,-0.003961887455782891
17,链接尺度参数,截距,-2.774419258957946
17,链接尺度参数,生产次数中心化,0.23514611070028288
18,原尺度边际效应（百分点）,个体内BMI,0.05634134246918621
18,原尺度边际效应（百分点）,妇间BMI,-0.13140968343635268
18,原尺度边际效应（百分点）,孕周平均,0.32133561483386164
18,链接尺度参数,BMI个体内偏差,0.00901518377347993
18,链接尺度参数,妇间BMI中心化,-0.021026876426337528
18,链接尺度参数,孕周中心化,0.04526140470233209
18,链接尺度参数,孕周二次项,0.004043499386396976
18,链接尺度参数,年龄中心化,-0.004295555003916912
18,链接尺度参数,截距,-2.7241128336222284
18,链接尺度参数,生产次数中心化,0.1371682522318458
19,原尺度边际效应（百分点）,个体内BMI,-0.14735218331321773
19,原尺度边际效应（百分点）,妇间BMI,-0.22840866390046932
19,原尺度边际效应（百分点）,孕周平均,0.3334844577831466
19,链接尺度参数,BMI个体内偏差,-0.02352677480718594
19,链接尺度参数,妇间BMI中心化,-0.03646854141396717
19,链接尺度参数,孕周中心化,0.04540020754030516
19,链接尺度参数,孕周二次项,0.005421804561523798
19,链接尺度参数,年龄中心化,-0.003423583632898702
19,链接尺度参数,截距,-2.7485354327374223
19,链接尺度参数,生产次数中心化,0.1354399620324273
20,原尺度边际效应（百分点）,个体内BMI,-0.06196445118943712
20,原尺度边际效应（百分点）,妇间BMI,-0.27475850214352066
20,原尺度边际效应（百分点）,孕周平均,0.29611507825937783
20,链接尺度参数,BMI个体内偏差,-0.009688215760686578
20,链接尺度参数,妇间BMI中心化,-0.04295881912536429
20,链接尺度参数,孕周中心化,0.041525558868361075
20,链接尺度参数,孕周二次项,0.0035774500831082428
20,链接尺度参数,年龄中心化,-0.02934062250674494
20,链接尺度参数,截距,-2.6961435686824675
20,链接尺度参数,生产次数中心化,0.15943765510158875
21,原尺度边际效应（百分点）,个体内BMI,-0.23873211258393134
21,原尺度边际效应（百分点）,妇间BMI,-0.19569585625791105
21,原尺度边际效应（百分点）,孕周平均,0.37979972365845915
21,链接尺度参数,BMI个体内偏差,-0.03595834065206396
21,链接尺度参数,妇间BMI中心化,-0.029476127812697747
21,链接尺度参数,孕周中心化,0.05005875074883853
21,链接尺度参数,孕周二次项,0.004698766123168736
21,链接尺度参数,年龄中心化,-0.00346840179756945
21,链接尺度参数,截距,-2.6678625383878334
21,链接尺度参数,生产次数中心化,0.16840756545900026
22,原尺度边际效应（百分点）,个体内BMI,0.02459382767300992
22,原尺度边际效应（百分点）,妇间BMI,-0.19730458779077484
22,原尺度边际效应（百分点）,孕周平均,0.34645828154966474
22,链接尺度参数,BMI个体内偏差,0.0037459398755544347
22,链接尺度参数,妇间BMI中心化,-0.030051894843778102
22,链接尺度参数,孕周中心化,0.046206898801254406
22,链接尺度参数,孕周二次项,0.004302558083300921
22,链接尺度参数,年龄中心化,-0.02190638542146632
22,链接尺度参数,截距,-2.6773342834024674
22,链接尺度参数,生产次数中心化,0.1951441786921175
23,原尺度边际效应（百分点）,个体内BMI,0.013996005728271196
23,原尺度边际效应（百分点）,妇间BMI,-0.29645877294723
23,原尺度边际效应（百分点）,孕周平均,0.3417394215089653
23,链接尺度参数,BMI个体内偏差,0.0020522057412542833
23,链接尺度参数,妇间BMI中心化,-0.04346914453304207
23,链接尺度参数,孕周中心化,0.04349298359833172
23,链接尺度参数,孕周二次项,0.004627057656251289
23,链接尺度参数,年龄中心化,-0.007207889686173123
23,链接尺度参数,截距,-2.636216501663603
23,链接尺度参数,生产次数中心化,0.0901839472214757
24,原尺度边际效应（百分点）,个体内BMI,-0.05927860381973278
24,原尺度边际效应（百分点）,妇间BMI,-0.17617425555749763
24,原尺度边际效应（百分点）,孕周平均,0.36804596051615873
24,链接尺度参数,BMI个体内偏差,-0.009233138658605082
24,链接尺度参数,妇间BMI中心化,-0.027440614738254397
24,链接尺度参数,孕周中心化,0.05098366876758948
24,链接尺度参数,孕周二次项,0.0038810792858356654
24,链接尺度参数,年龄中心化,-0.015477270491932904
24,链接尺度参数,截距,-2.6951213842053288
24,链接尺度参数,生产次数中心化,0.1421618488736248
25,原尺度边际效应（百分点）,个体内BMI,-0.01871651693878749
25,原尺度边际效应（百分点）,妇间BMI,-0.16710441929019157
25,原尺度边际效应（百分点）,孕周平均,0.3313608795215897
25,链接尺度参数,BMI个体内偏差,-0.00273572937679925
25,链接尺度参数,妇间BMI中心化,-0.0244250824199971
25,链接尺度参数,孕周中心化,0.043236462654365156
25,链接尺度参数,孕周二次项,0.0037451525827344847
25,链接尺度参数,年龄中心化,-0.0045708494877413075
25,链接尺度参数,截距,-2.611810264483178
25,链接尺度参数,生产次数中心化,0.17121396666180244
26,原尺度边际效应（百分点）,个体内BMI,-0.05839506670059436
26,原尺度边际效应（百分点）,妇间BMI,-0.13932859064352335
26,原尺度边际效应（百分点）,孕周平均,0.31540497443670645
26,链接尺度参数,BMI个体内偏差,-0.009032356276220975
26,链接尺度参数,妇间BMI中心化,-0.02155088676597474
26,链接尺度参数,孕周中心化,0.043356968132379825
26,链接尺度参数,孕周二次项,0.0038644834056339498
26,链接尺度参数,年龄中心化,-0.027463714585947867
26,链接尺度参数,截距,-2.684197606857776
26,链接尺度参数,生产次数中心化,0.1460364740977017
27,原尺度边际效应（百分点）,个体内BMI,0.0011285681577577252
27,原尺度边际效应（百分点）,妇间BMI,-0.09624284571606076
27,原尺度边际效应（百分点）,孕周平均,0.3041904317710697
27,链接尺度参数,BMI个体内偏差,0.00018343814583699785
27,链接尺度参数,妇间BMI中心化,-0.015643369916892896
27,链接尺度参数,孕周中心化,0.04161912147923255
27,链接尺度参数,孕周二次项,0.00549669572503542
27,链接尺度参数,年龄中心化,-0.028747710849513382
27,链接尺度参数,截距,-2.772171488674617
27,链接尺度参数,生产次数中心化,0.1908039473425944
28,原尺度边际效应（百分点）,个体内BMI,-0.11139062649013307
28,原尺度边际效应（百分点）,妇间BMI,-0.21324649440326565
28,原尺度边际效应（百分点）,孕周平均,0.3482710414618112
28,链接尺度参数,BMI个体内偏差,-0.017771028586464892
28,链接尺度参数,妇间BMI中心化,-0.034020901645072814
28,链接尺度参数,孕周中心化,0.047723988970793725
28,链接尺度参数,孕周二次项,0.005109504392312098
28,链接尺度参数,年龄中心化,-0.016418426116291723
28,链接尺度参数,截距,-2.7456036488313056
28,链接尺度参数,生产次数中心化,0.1812315452443816
29,原尺度边际效应（百分点）,个体内BMI,-0.28566948104583273
29,原尺度边际效应（百分点）,妇间BMI,-0.22264690353297809
29,原尺度边际效应（百分点）,孕周平均,0.36392510717586374
29,链接尺度参数,BMI个体内偏差,-0.04393954744150491
29,链接尺度参数,妇间BMI中心化,-0.03424588494604321
29,链接尺度参数,孕周中心化,0.04925778235272037
29,链接尺度参数,孕周二次项,0.004531826952296601
29,链接尺度参数,年龄中心化,-0.015483603696247912
29,链接尺度参数,截距,-2.6909155423259508
29,链接尺度参数,生产次数中心化,0.1435920515122959
30,原尺度边际效应（百分点）,个体内BMI,-0.4395926572119402
30,原尺度边际效应（百分点）,妇间BMI,-0.11106101373008584
30,原尺度边际效应（百分点）,孕周平均,0.33555412641731064
30,链接尺度参数,BMI个体内偏差,-0.06923020642484579
30,链接尺度参数,妇间BMI中心化,-0.01749068547926062
30,链接尺度参数,孕周中心化,0.046512897991892385
30,链接尺度参数,孕周二次项,0.004721274573567358
30,链接尺度参数,年龄中心化,-0.02234660514928323
30,链接尺度参数,截距,-2.717819455436499
30,链接尺度参数,生产次数中心化,0.11854412407904542
31,原尺度边际效应（百分点）,个体内BMI,-0.17847028430068734
31,原尺度边际效应（百分点）,妇间BMI,-0.19700610934111065
31,原尺度边际效应（百分点）,孕周平均,0.35506736459045335
31,链接尺度参数,BMI个体内偏差,-0.028007174137448153
31,链接尺度参数,妇间BMI中心化,-0.03091598375649804
31,链接尺度参数,孕周中心化,0.04808953782883977
31,链接尺度参数,孕周二次项,0.00503655163377958
31,链接尺度参数,年龄中心化,-0.02477163835993008
31,链接尺度参数,截距,-2.7256121192840066
31,链接尺度参数,生产次数中心化,0.16118008233640865
32,原尺度边际效应（百分点）,个体内BMI,0.0231795004373902
32,原尺度边际效应（百分点）,妇间BMI,-0.12398124956054496
32,原尺度边际效应（百分点）,孕周平均,0.37277149446112817
32,链接尺度参数,BMI个体内偏差,0.003693214005690941
32,链接尺度参数,妇间BMI中心化,-0.019754061937480766
32,链接尺度参数,孕周中心化,0.052113034112053695
32,链接尺度参数,孕周二次项,0.00421080191995411
32,链接尺度参数,年龄中心化,-0.004933594335441699
32,链接尺度参数,截距,-2.7258820922902673
32,链接尺度参数,生产次数中心化,0.05690049588824379
33,原尺度边际效应（百分点）,个体内BMI,-0.008359540900340409
33,原尺度边际效应（百分点）,妇间BMI,-0.21097978969346545
33,原尺度边际效应（百分点）,孕周平均,0.28517035685646874
33,链接尺度参数,BMI个体内偏差,-0.0014279264085638814
33,链接尺度参数,妇间BMI中心化,-0.03603829647681794
33,链接尺度参数,孕周中心化,0.04283846555914814
33,链接尺度参数,孕周二次项,0.004109657535191281
33,链接尺度参数,年龄中心化,-0.02178653680462647
33,链接尺度参数,截距,-2.8061850605381387
33,链接尺度参数,生产次数中心化,0.18991591922975692
34,原尺度边际效应（百分点）,个体内BMI,-0.21712317353985863
34,原尺度边际效应（百分点）,妇间BMI,-0.12677379831305546
34,原尺度边际效应（百分点）,孕周平均,0.3321373971256523
34,链接尺度参数,BMI个体内偏差,-0.03331050533181307
34,链接尺度参数,妇间BMI中心化,-0.019449325540859437
34,链接尺度参数,孕周中心化,0.044985551422653744
34,链接尺度参数,孕周二次项,0.004297549463633918
34,链接尺度参数,年龄中心化,-0.018173147694928615
34,链接尺度参数,截距,-2.679059620264278
34,链接尺度参数,生产次数中心化,0.0912469905389057
35,原尺度边际效应（百分点）,个体内BMI,-0.8573060754268298
35,原尺度边际效应（百分点）,妇间BMI,-0.11355133738139173
35,原尺度边际效应（百分点）,孕周平均,0.3902283968505271
35,链接尺度参数,BMI个体内偏差,-0.14137379547091358
35,链接尺度参数,妇间BMI中心化,-0.018725148469772742
35,链接尺度参数,孕周中心化,0.055916533649165434
35,链接尺度参数,孕周二次项,0.005848135705763317
35,链接尺度参数,年龄中心化,-0.012774071737308391
35,链接尺度参数,截距,-2.7935744990601927
35,链接尺度参数,生产次数中心化,0.12614101935647
36,原尺度边际效应（百分点）,个体内BMI,-0.04743291516091532
36,原尺度边际效应（百分点）,妇间BMI,-0.25349433673028676
36,原尺度边际效应（百分点）,孕周平均,0.3312377643618633
36,链接尺度参数,BMI个体内偏差,-0.007384726776232804
36,链接尺度参数,妇间BMI中心化,-0.03946597862949899
36,链接尺度参数,孕周中心化,0.04673487796324734
36,链接尺度参数,孕周二次项,0.003215536928361803
36,链接尺度参数,年龄中心化,-0.033889860068384396
36,链接尺度参数,截距,-2.6883489952492865
36,链接尺度参数,生产次数中心化,0.08030037043274481
37,原尺度边际效应（百分点）,个体内BMI,0.10833282993038709
37,原尺度边际效应（百分点）,妇间BMI,-0.13064379815310648
37,原尺度边际效应（百分点）,孕周平均,0.30956664893972385
37,链接尺度参数,BMI个体内偏差,0.01694548912717915
37,链接尺度参数,妇间BMI中心化,-0.020435384754182273
37,链接尺度参数,孕周中心化,0.043368762196394996
37,链接尺度参数,孕周二次项,0.0034362939866125052
37,链接尺度参数,年龄中心化,-0.02022871998531334
37,链接尺度参数,截距,-2.6897944268139344
37,链接尺度参数,生产次数中心化,0.20128051345084932
38,原尺度边际效应（百分点）,个体内BMI,-0.08768541372118063
38,原尺度边际效应（百分点）,妇间BMI,-0.15223828057709665
38,原尺度边际效应（百分点）,孕周平均,0.3176388506576926
38,链接尺度参数,BMI个体内偏差,-0.014273477665361009
38,链接尺度参数,妇间BMI中心化,-0.024781427211368286
38,链接尺度参数,孕周中心化,0.043494848688051244
38,链接尺度参数,孕周二次项,0.0056980124108713705
38,链接尺度参数,年龄中心化,-0.037576326196613906
38,链接尺度参数,截距,-2.7825245909076965
38,链接尺度参数,生产次数中心化,0.19605598551416425
39,原尺度边际效应（百分点）,个体内BMI,-0.12141403276121346
39,原尺度边际效应（百分点）,妇间BMI,-0.1675875835766741
39,原尺度边际效应（百分点）,孕周平均,0.33840174102981785
39,链接尺度参数,BMI个体内偏差,-0.018894866038086645
39,链接尺度参数,妇间BMI中心化,-0.026080551558283142
39,链接尺度参数,孕周中心化,0.04364541794679595
39,链接尺度参数,孕周二次项,0.006368314303740569
39,链接尺度参数,年龄中心化,-0.006682252289529846
39,链接尺度参数,截距,-2.735374552033271
39,链接尺度参数,生产次数中心化,0.21470933114854396
40,原尺度边际效应（百分点）,个体内BMI,-0.2661211407707824
40,原尺度边际效应（百分点）,妇间BMI,-0.2146609515258154
40,原尺度边际效应（百分点）,孕周平均,0.347386411919997
40,链接尺度参数,BMI个体内偏差,-0.039732736645213915
40,链接尺度参数,妇间BMI中心化,-0.032049565961888675
40,链接尺度参数,孕周中心化,0.045977156666766585
40,链接尺度参数,孕周二次项,0.0042880999059990545
40,链接尺度参数,年龄中心化,-0.016185286430042172
40,链接尺度参数,截距,-2.651085396388079
40,链接尺度参数,生产次数中心化,0.22327921760192637
41,原尺度边际效应（百分点）,个体内BMI,0.15185583542482822
41,原尺度边际效应（百分点）,妇间BMI,-0.10683849426220844
41,原尺度边际效应（百分点）,孕周平均,0.3400025481439649
41,链接尺度参数,BMI个体内偏差,0.02466716809561319
41,链接尺度参数,妇间BMI中心化,-0.017354638296746123
41,链接尺度参数,孕周中心化,0.047080115630251614
41,链接尺度参数,孕周二次项,0.0049460676633292025
41,链接尺度参数,年龄中心化,-0.005121672684738526
41,链接尺度参数,截距,-2.7616023102006135
41,链接尺度参数,生产次数中心化,0.19402031644847853
42,原尺度边际效应（百分点）,个体内BMI,-0.23562686846011088
42,原尺度边际效应（百分点）,妇间BMI,-0.08421804326306646
42,原尺度边际效应（百分点）,孕周平均,0.3636497929126401
42,链接尺度参数,BMI个体内偏差,-0.03740840362960818
42,链接尺度参数,妇间BMI中心化,-0.013370557338684549
42,链接尺度参数,孕周中心化,0.04957242276038812
42,链接尺度参数,孕周二次项,0.005304252285006897
42,链接尺度参数,年龄中心化,-0.015582463711015647
42,链接尺度参数,截距,-2.740590396241106
42,链接尺度参数,生产次数中心化,0.2047232729752064
43,原尺度边际效应（百分点）,个体内BMI,-0.041301360569549216
43,原尺度边际效应（百分点）,妇间BMI,-0.15908755264913282
43,原尺度边际效应（百分点）,孕周平均,0.32975949493991036
43,链接尺度参数,BMI个体内偏差,-0.00658657199319251
43,链接尺度参数,妇间BMI中心化,-0.0253706319669496
43,链接尺度参数,孕周中心化,0.044009688045730605
43,链接尺度参数,孕周二次项,0.005873717727013437
43,链接尺度参数,年龄中心化,-0.01293229843229112
43,链接尺度参数,截距,-2.7580818171571195
43,链接尺度参数,生产次数中心化,0.2613453787787653
44,原尺度边际效应（百分点）,个体内BMI,0.01571153303761409
44,原尺度边际效应（百分点）,妇间BMI,-0.10710484540651212
44,原尺度边际效应（百分点）,孕周平均,0.365017963387349
44,链接尺度参数,BMI个体内偏差,0.0023820650413266904
44,链接尺度参数,妇间BMI中心化,-0.01623843500113949
44,链接尺度参数,孕周中心化,0.048627709194778795
44,链接尺度参数,孕周二次项,0.004211689940978562
44,链接尺度参数,年龄中心化,-0.005677695038160895
44,链接尺度参数,截距,-2.6657266117331315
44,链接尺度参数,生产次数中心化,0.15840650568801454
45,原尺度边际效应（百分点）,个体内BMI,-0.2456769485318044
45,原尺度边际效应（百分点）,妇间BMI,-0.19593507430131912
45,原尺度边际效应（百分点）,孕周平均,0.32545856576935617
45,链接尺度参数,BMI个体内偏差,-0.03925757788921546
45,链接尺度参数,妇间BMI中心化,-0.03130915003048194
45,链接尺度参数,孕周中心化,0.04576528624556662
45,链接尺度参数,孕周二次项,0.0044549374449080106
45,链接尺度参数,年龄中心化,-0.010930783876679537
45,链接尺度参数,截距,-2.7303063546678192
45,链接尺度参数,生产次数中心化,0.09463091193810448
46,原尺度边际效应（百分点）,个体内BMI,-0.04968042158548633
46,原尺度边际效应（百分点）,妇间BMI,-0.14191616206900395
46,原尺度边际效应（百分点）,孕周平均,0.3146303294124374
46,链接尺度参数,BMI个体内偏差,-0.007889108313338007
46,链接尺度参数,妇间BMI中心化,-0.022535879089695194
46,链接尺度参数,孕周中心化,0.0435928950492028
46,链接尺度参数,孕周二次项,0.004453738227879677
46,链接尺度参数,年龄中心化,-0.02220749733377202
46,链接尺度参数,截距,-2.7247902950806044
46,链接尺度参数,生产次数中心化,0.164599925587727
47,原尺度边际效应（百分点）,个体内BMI,-0.04567150050773097
47,原尺度边际效应（百分点）,妇间BMI,-0.19440080582297967
47,原尺度边际效应（百分点）,孕周平均,0.2876280574394039
47,链接尺度参数,BMI个体内偏差,-0.007439913889178455
47,链接尺度参数,妇间BMI中心化,-0.03166800388056105
47,链接尺度参数,孕周中心化,0.04107919163161243
47,链接尺度参数,孕周二次项,0.004268547642452335
47,链接尺度参数,年龄中心化,-0.02780542650868755
47,链接尺度参数,截距,-2.75326953966263
47,链接尺度参数,生产次数中心化,0.17744157269888225
48,原尺度边际效应（百分点）,个体内BMI,-0.05453225825374807
48,原尺度边际效应（百分点）,妇间BMI,-0.12144945801157613
48,原尺度边际效应（百分点）,孕周平均,0.34882672707138623
48,链接尺度参数,BMI个体内偏差,-0.008574979721613094
48,链接尺度参数,妇间BMI中心化,-0.01909744200953914
48,链接尺度参数,孕周中心化,0.04794470686453715
48,链接尺度参数,孕周二次项,0.004429553394970016
48,链接尺度参数,年龄中心化,-0.023702656430380033
48,链接尺度参数,截距,-2.7158580198103355
48,链接尺度参数,生产次数中心化,0.18809454144480225
49,原尺度边际效应（百分点）,个体内BMI,-0.2550361646484047
49,原尺度边际效应（百分点）,妇间BMI,-0.19549614082994063
49,原尺度边际效应（百分点）,孕周平均,0.3406448510179427
49,链接尺度参数,BMI个体内偏差,-0.039535803528177677
49,链接尺度参数,妇间BMI中心化,-0.0303058863241019
49,链接尺度参数,孕周中心化,0.04459152848647845
49,链接尺度参数,孕周二次项,0.005904938462214536
49,链接尺度参数,年龄中心化,-0.029542765470790905
49,链接尺度参数,截距,-2.7259361069066035
