样本范围,问题,候选模型,参数,估计值,标准误,Wald95%下限,Wald95%上限,P值,参数来源,约束,达标事件数,未达标事件数,达标孕妇数,未达标孕妇数,两类结局均至少来自两个孕妇标志,生产次数水平单一结局标志,生产次数分布,推断可用标志,诊断说明,后段条件推断可用标志,P值解释边界
序号683前主分析,第三问,线性达标GEE,身高标准化,-0.2387541389820968,0.2036984848238691,-0.637995832942259,0.1604875549780654,0.2411585950866989,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第三问,线性达标GEE,生产次数标准化,0.9681834977083515,0.2581519790757036,0.4622149161822348,1.4741520792344684,0.0001765245712257,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683后不稳定敏感性,第三问,线性达标GEE,Intercept,5.638291926789293,0.935578282806347,3.804592187771024,7.471991665807563,1.6751574796348163e-09,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第三问,线性达标GEE,孕周标准化,0.7988116671788495,0.0871697495978705,0.6279620974256485,0.9696612369320506,5.0071894004819596e-20,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第三问,线性达标GEE,BMI标准化,-1.8551745596668832,0.4976461427583334,-2.830543076518495,-0.8798060428152713,0.0001930827208548,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第三问,线性达标GEE,年龄标准化,0.3391575418704924,0.1959083029958535,-0.0448156762737407,0.7231307600147256,0.0834151094494042,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第三问,线性达标GEE,身高标准化,-0.2720735948820475,0.2962083607809709,-0.8526313139323972,0.3084841241683022,0.3583461784937271,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第三问,线性达标GEE,生产次数标准化,19.547281807143445,0.7628624541319154,18.05209887188705,21.04246474239984,8.327779024713937e-145,附件数据估计,按候选公式,396,3,100,1,0,1,"{""0.0"": {""未达标"": 3, ""达标"": 336}, ""1.0"": {""未达标"": 0, ""达标"": 32}, ""2.0"": {""未达标"": 0, ""达标"": 16}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,Intercept,0.8788601398875312,0.1742903798844516,0.5372572724622018,1.2204630073128606,4.5947636174954085e-07,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,孕周标准化,1.0041444728048408,0.1588808820573773,0.6927436661404252,1.3155452794692564,2.6137908212495825e-10,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,BMI标准化,-0.4378304143561304,0.14132985454661,-0.7148318392077705,-0.1608289895044903,0.0019487550832648,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,年龄标准化,-0.3259863085010445,0.1679900081151638,-0.655240674169357,0.0032680571672679,0.0523177271597723,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,身高标准化,-0.1955873000022803,0.1964276258403827,-0.5805783722181398,0.1894037722135791,0.3193852586625431,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,生产次数标准化,0.9623074163068648,0.2549596030754145,0.4625957767664247,1.4620190558473047,0.0001604237887314,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,后段标志,4.187444598763349,1.0131237919726284,2.201758454616348,6.173130742910351,3.577450987886773e-05,附件数据估计,按候选公式,885,127,258,79,1,1,"{""0.0"": {""未达标"": 95, ""达标"": 616}, ""1.0"": {""未达标"": 32, ""达标"": 205}, ""2.0"": {""未达标"": 0, ""达标"": 52}, ""3.0"": {""未达标"": 0, ""达标"": 12}}",1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
