分析批次（683断点口径）,相关结构层级,变量代码,相关分析方法,相关计算有效样本量,相关系数r（无量纲）,双侧检验P值
683前,raw,filtered_rate,spearman,682,0.0727776273955422,0.05748164875766804
683前,within,filtered_rate,pearson,682,0.0850336675060511,0.026377059714079117
683前,between,filtered_rate,pearson,167,-0.012299207438218183,0.8746514677374831
683后,raw,gest_week,pearson,400,0.3101402460881331,2.2916223689823022e-10
683后,raw,gest_week,spearman,400,0.3365961436386729,4.724528689056915e-12
683后,within,gest_week,pearson,400,0.8685265285252981,2.186412338425543e-123
683后,between,gest_week,pearson,100,0.08413262150442893,0.4052816540866723
683后,raw,bmi,pearson,400,-0.3155892520724825,1.062372771078438e-10
683后,raw,bmi,spearman,400,-0.2899491871824198,3.4580407974820354e-09
683后,within,bmi,pearson,400,0.9999999999999996,0.0
683后,between,bmi,pearson,100,-0.40638504858131247,2.7251494102913895e-05
683后,raw,weight_kg,pearson,400,-0.2302383016791251,3.271186078251831e-06
683后,raw,weight_kg,spearman,400,-0.20991759215099498,2.3114585739110317e-05
683后,within,weight_kg,pearson,400,0.9983171230293999,0.0
683后,between,weight_kg,pearson,100,-0.29306792860722863,0.0030854285434366727
683后,raw,height_cm,pearson,400,-0.017522261527388484,0.7268075471171686
683后,raw,height_cm,spearman,400,0.028690385447127525,0.5672340661395371
683后,within,height_cm,pearson,400,,
683后,between,height_cm,pearson,100,-0.01884645005801691,0.85235728535299
683后,raw,age,pearson,400,-0.19927259455675608,5.987548872143573e-05
683后,raw,age,spearman,400,-0.18383603632765896,0.00021836146698999206
683后,within,age,pearson,400,,
683后,between,age,pearson,100,-0.21433197965771342,0.03224792656257172
683后,raw,gc_rate,pearson,400,-0.01617394582446757,0.7470832662312619
683后,raw,gc_rate,spearman,400,-0.00085350533440834,0.9864233019435117
683后,within,gc_rate,pearson,400,0.00036301669768548043,0.9942252707869739
683后,between,gc_rate,pearson,100,-0.03483077516162932,0.7308214096581176
683后,raw,filtered_rate,pearson,400,0.046882563703583915,0.34966914621662554
683后,raw,filtered_rate,spearman,400,0.03952393452459078,0.4305136726459817
683后,within,filtered_rate,pearson,400,-0.02428211930058148,0.6282482185662023
683后,between,filtered_rate,pearson,100,0.1299871613319239,0.19739616066427407
